date,time,text,networks,media_status,approved,id
2026-09-01,17:00,A little reminder to look back and see how far you've come. 💛 You did that.,"tiktok,facebook,youtube_shorts",pending_card_render,N,PO-001
2026-09-02,17:00,On the days it doesn't feel like it — you're stronger than you think. 🌱,"tiktok,facebook,youtube_shorts",pending_card_render,N,PO-002
2026-09-03,17:00,"Tiny steps still count. Keep going, one little step at a time. 🐾","tiktok,facebook,youtube_shorts",pending_card_render,N,PO-003
2026-09-04,17:00,"Hard days are allowed. They pass, and you're still here. ☔ Save this for one.","tiktok,facebook,youtube_shorts",pending_card_render,N,PO-004
2026-09-05,17:00,You don't have to be perfect. You're already enough. 🌼,"tiktok,facebook,youtube_shorts",pending_card_render,N,PO-005
2026-09-06,17:00,This is your permission slip to rest. You've earned it. 😴,"tiktok,facebook,youtube_shorts",pending_card_render,N,PO-006
2026-09-07,17:00,"Asking for help is brave, not weak. You're not alone in this. 🤍","tiktok,facebook,youtube_shorts",pending_card_render,N,PO-007
2026-09-08,17:00,Little joys count. Choose one today — you're worth it. 🦋,"tiktok,facebook,youtube_shorts",pending_card_render,N,PO-008
2026-09-09,17:00,One kind word can light up someone's whole day. Be that today. 🏮,"tiktok,facebook,youtube_shorts",pending_card_render,N,PO-009
2026-09-10,17:00,You're not behind. Trust your timing — good things grow slowly. 🌅,"tiktok,facebook,youtube_shorts",pending_card_render,N,PO-010
2026-09-11,17:00,Someone smiled today because you exist. Thank you for being you. 😊,"tiktok,facebook,youtube_shorts",pending_card_render,N,PO-011
2026-09-12,17:00,"Slowing down isn't quitting. Rest, recharge, grow. 🍂","tiktok,facebook,youtube_shorts",pending_card_render,N,PO-012
2026-09-13,17:00,The world's a little brighter with you in it. Shine on. ✨,"tiktok,facebook,youtube_shorts",pending_card_render,N,PO-013
2026-09-14,17:00,Whatever yesterday was — today's a fresh start. Keep growing. 🌱,"tiktok,facebook,youtube_shorts",pending_card_render,N,PO-014
2026-09-15,17:00,"The hard bits help you grow too. A little rain, then the bloom. 🌈","tiktok,facebook,youtube_shorts",pending_card_render,N,PO-015
2026-09-16,17:00,Slow is still forward. Every step is carrying you somewhere good. 🐌,"tiktok,facebook,youtube_shorts",pending_card_render,N,PO-016
2026-09-17,17:00,"One kind thought — for someone else, or for yourself — can change a whole day. 💛","tiktok,facebook,youtube_shorts",pending_card_render,N,PO-017
2026-09-18,17:00,You being here makes the world better. You matter more than you know. 🌟,"tiktok,facebook,youtube_shorts",pending_card_render,N,PO-018
2026-09-19,17:00,"You belong here — roots and all, just like the trees. 🌳","tiktok,facebook,youtube_shorts",pending_card_render,N,PO-019
2026-09-20,17:00,Kind words cost nothing and last forever. Share a few today. 🐦,"tiktok,facebook,youtube_shorts",pending_card_render,N,PO-020
2026-09-21,17:00,Keep believing in yourself. The best really is yet to come. 🌄,"tiktok,facebook,youtube_shorts",pending_card_render,N,PO-021
